Type,Symbol
Nifty 500,NEULANDLAB
Nifty 500,OLAELEC
Nifty 500,JPPOWER
Nifty 500,ANANDRATHI
Nifty 500,GODFRYPHLP
Nifty 500,IDEA
Nifty 500,PEL
Nifty 500,ALIVUS
Nifty 500,APLLTD
Nifty 500,INDIAMART
Nifty 500,SAILIFE
Nifty 500,USHAMART
Nifty 500,HEG
Nifty 500,CEATLTD
Nifty 500,MANKIND
Nifty 500,EMCURE
Nifty 500,LAURUSLABS
Nifty 500,ZEEL
Nifty 500,GRAPHITE
Nifty 500,BSE
Nifty 500,BEML
Nifty 500,BOSCHLTD
Nifty 500,IFCI
Nifty 500,GRANULES
Nifty 500,HSCL
Nifty 500,PPLPHARMA
Nifty 500,WOCKPHARMA
Nifty 500,KEI
Nifty 500,ECLERX
Nifty 500,OIL
Nifty 500,ADANIGREEN
Nifty 500,CESC
Nifty 500,SOBHA
Nifty 500,GODIGIT
Nifty 500,DBREALTY
Nifty 500,BAJAJHLDNG
Nifty 500,JMFINANCIL
Nifty 500,J&KBANK
Nifty 500,RRKABEL
Nifty 500,ETERNAL
Nifty 500,TORNTPHARM
Nifty 500,WAAREEENER
Nifty 500,BLUEDART
Nifty 500,REDINGTON
Nifty 500,ASHOKLEY
Nifty 500,HINDZINC
Nifty 500,ENDURANCE
Nifty 500,COROMANDEL
Nifty 500,VMM
Nifty 500,NIVABUPA
Nifty 500,MINDACORP
Nifty 500,MAXHEALTH
Nifty 500,PAYTM
Nifty 500,JUBLPHARMA
Nifty 500,NAVA
Nifty 500,NETWORK18
Nifty 500,FORTIS
Nifty 500,ATUL
Nifty 500,GODREJPROP
Nifty 500,UNIONBANK
Nifty 500,HYUNDAI
Nifty 500,ERIS
Nifty 500,CARBORUNIV
Nifty 500,AMBER
Nifty 500,POLICYBZR
Nifty 500,PGEL
Nifty 500,BRIGADE
Nifty 500,SWIGGY
Nifty 500,CLEAN
Nifty 500,GICRE
Nifty 500,MCX
Nifty 500,WESTLIFE
Nifty 500,VBL
Nifty 500,TATACHEM
Nifty 500,CAMPUS
Nifty 500,TATAELXSI
Nifty 500,CONCORDBIO
Nifty 500,PRESTIGE
Nifty 500,MEDANTA
Nifty 500,AADHARHFC
Nifty 500,JBCHEPHARM
Nifty 500,ANANTRAJ
Nifty 500,ICICIPRULI
Nifty 500,CHAMBLFERT
Nifty 500,CUB
Nifty 500,CYIENT
Nifty 500,GLENMARK
Nifty 500,INTELLECT
Nifty 500,PAGEIND
Nifty 500,TVSMOTOR
Nifty 500,NETWEB
Nifty 500,NAUKRI
Nifty 500,YESBANK
Nifty 500,SCHAEFFLER
Nifty 500,TBOTEK
Nifty 500,LUPIN
Nifty 500,KNRCON
Nifty 500,GLAND
Nifty 500,SYNGENE
Nifty 500,BLUESTARCO
Nifty 500,NATCOPHARM
Nifty 500,NCC
Nifty 500,CANBK
Nifty 500,FEDERALBNK
Nifty 500,SWSOLAR
Nifty 500,PHOENIXLTD
Nifty 500,BANKBARODA
Nifty 500,TARIL
Nifty 500,FIRSTCRY
Nifty 500,DLF
Nifty 500,TATAPOWER
Nifty 500,CAMS
Nifty 500,LODHA
Nifty 500,ABREL
Nifty 500,IGIL
Nifty 500,NUVAMA
Nifty 500,POLYCAB
Nifty 500,ASTRAL
Nifty 500,CREDITACC
Nifty 500,PETRONET
Nifty 500,CASTROLIND
Nifty 500,COHANCE
Nifty 500,BIOCON
Nifty 500,FIVESTAR
Nifty 500,ELECON
Nifty 500,JSWENERGY
Nifty 500,NYKAA
Nifty 500,TITAN
Nifty 500,IDBI
Nifty 500,HFCL
Nifty 500,AUROPHARMA
Nifty 500,MAHSEAMLES
Nifty 500,VEDL
Nifty 500,JYOTICNC
Nifty 500,ITI
Nifty 500,GMRAIRPORT
Nifty 500,CHALET
Nifty 500,SONACOMS
Nifty 500,OFSS
Nifty 500,TATATECH
Nifty 500,SIEMENS
Nifty 500,WELCORP
Nifty 500,JSWHL
Nifty 500,SUNDARMFIN
Nifty 500,RADICO
Nifty 500,DCMSHRIRAM
Nifty 500,SUNTV
Nifty 500,CGPOWER
Nifty 500,PNBHOUSING
Nifty 500,UPL
Nifty 500,INDUSINDBK
Nifty 500,ONGC
Nifty 500,MOTHERSON
Nifty 500,JKCEMENT
Nifty 500,JSL
Nifty 500,GAIL
Nifty 500,MUTHOOTFIN
Nifty 500,UTIAMC
Nifty 500,ADANIPOWER
Nifty 500,ARE&M
Nifty 500,TITAGARH
Nifty 500,CROMPTON
Nifty 500,ADANIENT
Nifty 500,SBILIFE
Nifty 500,JKTYRE
Nifty 500,M&MFIN
Nifty 500,WHIRLPOOL
Nifty 500,FLUOROCHEM
Nifty 500,NHPC
Nifty 500,GRASIM
Nifty 500,TRITURBINE
Nifty 500,MAPMYINDIA
Nifty 500,KEC
Nifty 500,HEROMOTOCO
Nifty 500,AJANTPHARM
Nifty 500,ALKYLAMINE
Nifty 500,HDFCLIFE
Nifty 500,COALINDIA
Nifty 500,ABCAPITAL
Nifty 500,APARINDS
Nifty 500,ADANIENSOL
Nifty 500,RPOWER
Nifty 500,IRB
Nifty 500,IIFL
Nifty 500,MFSL
Nifty 500,DIXON
Nifty 500,ALKEM
Nifty 500,KIRLOSENG
Nifty 500,EXIDEIND
Nifty 500,LINDEINDIA
Nifty 500,ABSLAMC
Nifty 500,TEJASNET
Nifty 500,SONATSOFTW
Nifty 500,NH
Nifty 500,SUNPHARMA
Nifty 500,M&M
Nifty 500,KALYANKJIL
Nifty 500,ITC
Nifty 500,KPIL
Nifty 500,NAM-INDIA
Nifty 500,HONAUT
Nifty 500,PTCIL
Nifty 500,INDIANB
Nifty 500,SHYAMMETL
Nifty 500,VOLTAS
Nifty 500,AARTIIND
Nifty 500,PATANJALI
Nifty 500,AMBUJACEM
Nifty 500,IPCALAB
Nifty 500,CENTURYPLY
Nifty 500,PNCINFRA
Nifty 500,SJVN
Nifty 500,PERSISTENT
Nifty 500,DATAPATTNS
Nifty 500,CAPLIPOINT
Nifty 500,LTF
Nifty 500,TIMKEN
Nifty 500,UNITDSPR
Nifty 500,BAYERCROP
Nifty 500,PNB
Nifty 500,SUNDRMFAST
Nifty 500,TANLA
Nifty 500,TTML
Nifty 500,SYRMA
Nifty 500,CGCL
Nifty 500,APOLLOHOSP
Nifty 500,KAYNES
Nifty 500,EIDPARRY
Nifty 500,UNOMINDA
Nifty 500,MRF
Nifty 500,HAL
Nifty 500,IKS
Nifty 500,SAGILITY
Nifty 500,INDIGO
Nifty 500,COFORGE
Nifty 500,TATASTEEL
Nifty 500,ICICIGI
Nifty 500,KAJARIACER
Nifty 500,LICHSGFIN
Nifty 500,BANKINDIA
Nifty 500,CANFINHOME
Nifty 500,CHENNPETRO
Nifty 500,BRITANNIA
Nifty 500,PREMIERENE
Nifty 500,IEX
Nifty 500,CRISIL
Nifty 500,ZFCVINDIA
Nifty 500,MARICO
Nifty 500,KARURVYSYA
Nifty 500,HINDCOPPER
Nifty 500,HUDCO
Nifty 500,CRAFTSMAN
Nifty 500,ATGL
Nifty 500,ELGIEQUIP
Nifty 500,RAINBOW
Nifty 500,GESHIP
Nifty 500,BAJAJ-AUTO
Nifty 500,RITES
Nifty 500,GPPL
Nifty 500,MAHABANK
Nifty 500,SHRIRAMFIN
Nifty 500,NLCINDIA
Nifty 500,MOTILALOFS
Nifty 500,KFINTECH
Nifty 500,JUBLFOOD
Nifty 500,INOXWIND
Nifty 500,ULTRACEMCO
Nifty 500,RVNL
Nifty 500,JSWSTEEL
Nifty 500,ALOKINDS
Nifty 500,PIIND
Nifty 500,NBCC
Nifty 500,GODREJIND
Nifty 500,CONCOR
Nifty 500,TATACOMM
Nifty 500,ADANIPORTS
Nifty 500,COLPAL
Nifty 500,ICICIBANK
Nifty 500,MANAPPURAM
Nifty 500,DEVYANI
Nifty 500,KIMS
Nifty 500,TIINDIA
Nifty 500,NMDC
Nifty 500,SBIN
Nifty 500,ANGELONE
Nifty 500,VIJAYA
Nifty 500,JUBLINGREA
Nifty 500,NATIONALUM
Nifty 500,3MINDIA
Nifty 500,SUMICHEM
Nifty 500,HDFCBANK
Nifty 500,INDGN
Nifty 500,SUPREMEIND
Nifty 500,BHARTIARTL
Nifty 500,SAPPHIRE
Nifty 500,MSUMI
Nifty 500,POONAWALLA
Nifty 500,UCOBANK
Nifty 500,CIPLA
Nifty 500,INDUSTOWER
Nifty 500,IRCON
Nifty 500,BSOFT
Nifty 500,JSWINFRA
Nifty 500,HAVELLS
Nifty 500,RAYMONDLSL
Nifty 500,KPITTECH
Nifty 500,AXISBANK
Nifty 500,NIACL
Nifty 500,SAIL
Nifty 500,HINDUNILVR
Nifty 500,POWERGRID
Nifty 500,KANSAINER
Nifty 500,MMTC
Nifty 500,INOXINDIA
Nifty 500,AEGISLOG
Nifty 500,BPCL
Nifty 500,HOMEFIRST
Nifty 500,SIGNATURE
Nifty 500,NTPC
Nifty 500,UBL
Nifty 500,JINDALSAW
Nifty 500,BALKRISIND
Nifty 500,POLYMED
Nifty 500,VGUARD
Nifty 500,INDIACEM
Nifty 500,ACC
Nifty 500,FINPIPE
Nifty 500,BANDHANBNK
Nifty 500,CHOLAFIN
Nifty 500,EMAMILTD
Nifty 500,BATAINDIA
Nifty 500,METROPOLIS
Nifty 500,AIAENG
Nifty 500,RAILTEL
Nifty 500,RBLBANK
Nifty 500,JYOTHYLAB
Nifty 500,MRPL
