Datetime,open,high,low,close,Volume
2000-05-08 00:00:00+05:30,26.5,27.5,25.6,26.05,1382199
2000-05-09 00:00:00+05:30,25.6,26.5,25.3,26.14,1142879
2000-05-10 00:00:00+05:30,26.0,26.5,25.2,26.27,1874769
2000-05-11 00:00:00+05:30,25.51,27.09,25.41,26.58,2431379
2000-05-12 00:00:00+05:30,27.14,27.14,26.01,26.21,1296979
2000-05-15 00:00:00+05:30,25.81,26.2,25.1,25.71,1653129
2000-05-16 00:00:00+05:30,25.7,26.18,25.5,25.63,1074069
2000-05-17 00:00:00+05:30,26.0,26.1,25.51,25.81,801429
2000-05-18 00:00:00+05:30,25.51,25.9,25.5,25.61,488709
2000-05-19 00:00:00+05:30,25.21,26.05,25.21,25.58,2169049
2000-05-22 00:00:00+05:30,25.6,25.79,24.33,24.89,1101499
2000-05-23 00:00:00+05:30,24.7,24.7,21.91,23.38,2039099
2000-05-24 00:00:00+05:30,23.0,25.25,22.01,24.21,3198409
2000-05-25 00:00:00+05:30,24.25,24.75,23.01,23.36,1576309
2000-05-26 00:00:00+05:30,23.11,23.6,22.51,23.03,1387349
2000-05-29 00:00:00+05:30,22.81,23.15,21.2,22.47,1411509
2000-05-30 00:00:00+05:30,22.7,22.95,21.6,22.38,1467449
2000-05-31 00:00:00+05:30,23.1,23.94,22.5,23.03,1526689
2000-06-01 00:00:00+05:30,22.7,23.2,22.6,22.93,935729
2000-06-02 00:00:00+05:30,23.2,24.7,23.2,24.45,2218469
2000-06-05 00:00:00+05:30,24.61,26.35,24.42,24.71,1571109
2000-06-06 00:00:00+05:30,25.5,25.5,23.7,24.46,917929
2000-06-07 00:00:00+05:30,23.8,24.04,23.4,23.95,800019
2000-06-08 00:00:00+05:30,24.0,24.49,23.7,24.04,636619
2000-06-09 00:00:00+05:30,24.2,25.0,24.2,24.53,1082109
2000-06-12 00:00:00+05:30,24.65,24.9,24.31,24.44,641439
2000-06-13 00:00:00+05:30,24.0,25.5,23.9,25.36,1140139
2000-06-14 00:00:00+05:30,25.9,25.9,24.9,25.03,707299
2000-06-15 00:00:00+05:30,25.11,25.3,24.76,25.09,635019
2000-06-16 00:00:00+05:30,24.3,25.3,24.3,25.1,558129
2000-06-19 00:00:00+05:30,24.53,25.3,24.52,25.17,741849
2000-06-20 00:00:00+05:30,25.49,25.87,24.65,25.46,1007539
2000-06-21 00:00:00+05:30,25.8,26.3,25.31,25.62,1839139
2000-06-22 00:00:00+05:30,25.81,26.2,25.6,25.71,650739
2000-06-23 00:00:00+05:30,25.41,25.9,25.41,25.74,757809
2000-06-26 00:00:00+05:30,25.44,25.75,25.42,25.52,660409
2000-06-27 00:00:00+05:30,25.5,25.5,25.1,25.19,743319
2000-06-28 00:00:00+05:30,26.0,26.0,24.81,25.05,603829
2000-06-29 00:00:00+05:30,25.15,25.9,25.1,25.76,774039
2000-06-30 00:00:00+05:30,25.5,25.57,25.2,25.24,384499
2000-07-03 00:00:00+05:30,25.31,27.8,25.21,26.87,2004339
2000-07-04 00:00:00+05:30,26.8,28.09,26.6,27.89,3134289
2000-07-05 00:00:00+05:30,28.48,28.48,27.13,27.8,2192709
2000-07-06 00:00:00+05:30,27.8,27.99,27.27,27.6,957329
2000-07-07 00:00:00+05:30,27.7,28.5,27.51,28.18,2121979
2000-07-10 00:00:00+05:30,28.0,28.3,27.3,27.57,1441669
2000-07-11 00:00:00+05:30,27.9,28.0,27.4,27.49,953409
2000-07-12 00:00:00+05:30,27.5,27.87,26.1,26.79,1829149
2000-07-13 00:00:00+05:30,27.39,27.62,26.22,26.59,2059659
2000-07-14 00:00:00+05:30,26.51,27.0,26.41,26.58,775549
2000-07-17 00:00:00+05:30,26.41,26.43,25.4,25.44,1125759
2000-07-18 00:00:00+05:30,25.43,25.54,25.0,25.03,1426119
2000-07-19 00:00:00+05:30,24.8,25.3,24.8,25.13,694039
2000-07-20 00:00:00+05:30,25.0,25.8,24.51,24.84,988109
2000-07-21 00:00:00+05:30,24.85,24.99,24.01,24.16,1148119
2000-07-24 00:00:00+05:30,23.51,23.8,22.51,23.12,2139819
2000-07-25 00:00:00+05:30,22.6,24.87,22.26,24.27,1023309
2000-07-26 00:00:00+05:30,24.9,25.2,24.25,24.5,607629
2000-07-27 00:00:00+05:30,24.34,24.58,24.1,24.45,309419
2000-07-28 00:00:00+05:30,24.21,24.56,23.4,23.51,1299439
2000-07-31 00:00:00+05:30,23.5,23.6,23.0,23.29,246429
2000-08-01 00:00:00+05:30,23.59,23.59,22.62,22.75,730999
2000-08-02 00:00:00+05:30,22.85,22.99,21.8,22.4,1170799
2000-08-03 00:00:00+05:30,22.48,25.79,22.41,25.25,2954029
2000-08-04 00:00:00+05:30,24.5,25.4,24.23,24.98,2838819
2000-08-07 00:00:00+05:30,24.81,25.0,22.98,23.52,1494149
2000-08-08 00:00:00+05:30,23.21,25.79,23.1,25.31,1966719
2000-08-09 00:00:00+05:30,25.42,25.5,24.2,24.41,637309
2000-08-10 00:00:00+05:30,24.2,24.9,24.13,24.37,439489
2000-08-11 00:00:00+05:30,23.51,24.44,23.51,24.22,506619
2000-08-14 00:00:00+05:30,24.21,24.45,24.13,24.35,551749
2000-08-16 00:00:00+05:30,24.6,24.75,24.4,24.6,309749
2000-08-17 00:00:00+05:30,24.47,25.5,24.47,24.7,1182699
2000-08-18 00:00:00+05:30,24.4,24.4,23.7,23.96,2462309
2000-08-21 00:00:00+05:30,23.51,23.8,22.63,23.52,2801189
2000-08-22 00:00:00+05:30,23.32,23.32,22.9,23.05,1111769
2000-08-23 00:00:00+05:30,24.3,24.3,23.1,23.28,1075739
2000-08-24 00:00:00+05:30,23.3,23.38,23.07,23.16,390669
2000-08-25 00:00:00+05:30,23.01,24.67,23.01,23.88,2312719
2000-08-28 00:00:00+05:30,24.2,24.2,23.5,23.52,429229
2000-08-29 00:00:00+05:30,23.4,23.72,23.1,23.48,936449
2000-08-30 00:00:00+05:30,23.7,23.98,23.5,23.59,1113169
2000-08-31 00:00:00+05:30,23.44,24.0,23.44,23.94,1138409
2000-09-04 00:00:00+05:30,24.0,24.3,23.7,23.85,481799
2000-09-05 00:00:00+05:30,23.71,24.5,23.7,23.93,869689
2000-09-06 00:00:00+05:30,24.0,24.9,24.0,24.26,1091949
2000-09-07 00:00:00+05:30,23.89,24.5,23.89,24.01,697549
2000-09-08 00:00:00+05:30,23.81,24.4,23.81,23.86,664759
2000-09-11 00:00:00+05:30,23.9,24.2,23.9,24.01,673659
2000-09-12 00:00:00+05:30,23.91,23.98,23.55,23.63,930849
2000-09-13 00:00:00+05:30,23.8,23.85,23.51,23.59,473019
2000-09-14 00:00:00+05:30,23.31,23.63,23.2,23.25,924749
2000-09-15 00:00:00+05:30,23.11,23.11,22.35,22.77,1839059
2000-09-18 00:00:00+05:30,22.5,22.5,19.7,20.94,4094359
2000-09-19 00:00:00+05:30,20.65,23.5,19.81,23.04,3391349
2000-09-20 00:00:00+05:30,23.4,23.6,22.01,22.51,1342329
2000-09-21 00:00:00+05:30,22.5,22.63,22.01,22.41,788789
2000-09-22 00:00:00+05:30,22.01,22.29,21.5,21.69,1413239
2000-09-25 00:00:00+05:30,22.0,22.43,21.56,22.38,682889
2000-09-26 00:00:00+05:30,22.2,22.4,22.03,22.24,910819
2000-09-27 00:00:00+05:30,22.0,22.74,21.8,22.67,616409
2000-09-28 00:00:00+05:30,22.74,22.8,22.0,22.39,1231039
2000-09-29 00:00:00+05:30,22.8,24.05,22.27,23.43,1612479
2000-10-03 00:00:00+05:30,23.4,24.0,23.0,23.93,1015839
2000-10-04 00:00:00+05:30,24.0,24.0,23.21,23.61,538429
2000-10-05 00:00:00+05:30,23.6,23.75,23.21,23.47,534019
2000-10-06 00:00:00+05:30,23.52,24.8,22.2,24.44,4165979
2000-10-09 00:00:00+05:30,24.02,24.6,23.8,24.32,1702679
2000-10-10 00:00:00+05:30,23.8,24.49,23.55,23.91,1597609
2000-10-11 00:00:00+05:30,23.59,23.9,22.93,23.67,1526999
2000-10-12 00:00:00+05:30,23.51,23.75,23.31,23.65,535319
2000-10-13 00:00:00+05:30,23.3,23.78,23.11,23.65,858649
2000-10-16 00:00:00+05:30,24.1,24.45,23.06,23.69,1672679
2000-10-17 00:00:00+05:30,23.46,24.0,23.43,23.78,1006919
2000-10-18 00:00:00+05:30,23.6,23.99,23.23,23.81,874409
2000-10-19 00:00:00+05:30,23.9,24.4,23.8,24.19,1164999
2000-10-20 00:00:00+05:30,24.5,24.7,24.3,24.47,983449
2000-10-23 00:00:00+05:30,24.5,24.69,24.25,24.31,490539
2000-10-24 00:00:00+05:30,24.1,24.4,24.05,24.33,908619
2000-10-25 00:00:00+05:30,24.4,24.4,24.02,24.14,484279
2000-10-26 00:00:00+05:30,24.5,24.5,24.03,24.14,132759
2000-10-27 00:00:00+05:30,24.1,24.29,23.71,24.0,157709
2000-10-30 00:00:00+05:30,23.81,24.9,23.81,24.69,725979
2000-10-31 00:00:00+05:30,25.0,25.49,24.3,25.06,1268939
2000-11-01 00:00:00+05:30,25.45,25.45,24.5,24.72,450869
2000-11-02 00:00:00+05:30,24.56,25.3,24.56,25.2,1090259
2000-11-03 00:00:00+05:30,25.3,25.3,24.7,24.81,586409
2000-11-06 00:00:00+05:30,24.7,25.3,24.7,25.0,3414469
2000-11-07 00:00:00+05:30,24.8,24.99,24.76,24.88,500739
2000-11-08 00:00:00+05:30,25.0,25.0,24.3,24.39,311189
2000-11-09 00:00:00+05:30,24.2,24.58,23.99,24.5,463729
2000-11-10 00:00:00+05:30,24.45,24.7,24.4,24.52,508909
2000-11-13 00:00:00+05:30,24.08,24.4,24.0,24.04,379349
2000-11-14 00:00:00+05:30,24.0,24.05,23.25,23.58,961559
2000-11-15 00:00:00+05:30,23.99,24.4,23.75,24.04,1788269
2000-11-16 00:00:00+05:30,24.0,24.11,22.92,23.26,3386129
2000-11-17 00:00:00+05:30,23.05,23.2,22.36,22.98,2274519
