Datetime,open,high,low,close,Volume
2003-03-06 00:00:00+05:30,13.68,13.74,13.68,13.7,4549
2003-03-07 00:00:00+05:30,13.55,13.55,13.4,13.42,21109
2003-03-13 00:00:00+05:30,13.1,13.12,13.1,13.12,449
2003-03-17 00:00:00+05:30,12.98,12.98,12.98,12.98,299
2003-03-24 00:00:00+05:30,12.2,12.8,12.2,12.8,9999
2003-03-28 00:00:00+05:30,13.1,13.1,13.1,13.1,99
2003-03-31 00:00:00+05:30,12.79,12.79,12.5,12.5,49999
2003-04-03 00:00:00+05:30,10.5,14.9,10.5,14.8,299
2003-04-04 00:00:00+05:30,13.18,13.45,13.16,13.16,29
2003-04-07 00:00:00+05:30,13.73,13.73,13.73,13.73,2499
2003-04-09 00:00:00+05:30,14.0,14.0,14.0,14.0,9
2003-04-10 00:00:00+05:30,13.4,13.4,13.4,13.4,99
2003-04-11 00:00:00+05:30,13.2,13.2,13.2,13.2,99
2003-04-28 00:00:00+05:30,13.6,13.6,13.6,13.6,19
2003-04-29 00:00:00+05:30,13.55,13.55,13.55,13.55,19
2003-04-30 00:00:00+05:30,13.5,13.5,13.5,13.5,19
2003-05-02 00:00:00+05:30,13.7,13.7,13.7,13.7,19
2003-05-05 00:00:00+05:30,14.05,14.05,13.8,13.8,199
2003-05-06 00:00:00+05:30,14.25,14.25,14.25,14.25,19
2003-05-07 00:00:00+05:30,14.35,14.35,14.35,14.35,49
2003-05-08 00:00:00+05:30,14.03,14.03,14.03,14.03,19
2003-05-09 00:00:00+05:30,14.1,14.1,14.1,14.1,49
2003-05-12 00:00:00+05:30,14.3,14.3,14.1,14.1,31269
2003-05-13 00:00:00+05:30,14.4,14.75,14.4,14.75,739
2003-05-14 00:00:00+05:30,14.7,14.7,14.7,14.7,1049
2003-05-15 00:00:00+05:30,15.1,15.1,15.0,15.0,1349
2003-05-16 00:00:00+05:30,15.15,15.15,15.15,15.15,49
2003-05-19 00:00:00+05:30,14.95,14.95,14.95,14.95,39
2003-05-20 00:00:00+05:30,15.1,15.1,14.95,14.95,99
2003-05-21 00:00:00+05:30,15.2,15.3,15.2,15.24,28969
2003-05-22 00:00:00+05:30,15.5,15.5,15.5,15.5,49
2003-05-23 00:00:00+05:30,15.7,15.7,15.7,15.7,99
2003-05-26 00:00:00+05:30,16.0,16.0,16.0,16.0,99
2003-05-27 00:00:00+05:30,16.05,16.05,15.86,15.86,25199
2003-05-29 00:00:00+05:30,16.4,16.5,16.4,16.5,399
2003-06-04 00:00:00+05:30,16.6,16.7,16.6,16.7,5899
2003-06-05 00:00:00+05:30,16.7,16.7,16.7,16.7,99
2003-06-12 00:00:00+05:30,16.7,16.7,16.7,16.7,29
2003-06-16 00:00:00+05:30,16.5,16.5,16.25,16.25,5049
2003-06-17 00:00:00+05:30,16.45,16.5,16.4,16.4,7819
2003-06-18 00:00:00+05:30,16.95,16.95,16.65,16.65,1029
2003-06-20 00:00:00+05:30,16.85,16.85,16.85,16.85,699
2003-06-23 00:00:00+05:30,17.4,17.6,17.0,17.0,6399
2003-06-24 00:00:00+05:30,17.15,17.3,17.1,17.3,10049
2003-06-25 00:00:00+05:30,17.4,17.4,17.4,17.4,39
2003-06-26 00:00:00+05:30,17.83,17.85,17.83,17.85,1789
2003-06-30 00:00:00+05:30,18.1,18.1,18.1,18.1,49
2003-07-01 00:00:00+05:30,18.1,18.1,18.1,18.1,49
2003-07-03 00:00:00+05:30,18.7,18.7,18.7,18.7,13999
2003-07-04 00:00:00+05:30,18.5,18.5,18.45,18.45,6999
2003-07-07 00:00:00+05:30,18.7,18.8,18.7,18.8,3049
2003-07-09 00:00:00+05:30,18.6,18.8,18.6,18.7,2509
2003-07-11 00:00:00+05:30,19.35,19.35,19.35,19.35,999
2003-07-14 00:00:00+05:30,19.43,19.45,19.4,19.45,14999
2003-07-15 00:00:00+05:30,19.2,19.3,19.2,19.2,15249
2003-07-17 00:00:00+05:30,19.8,19.9,19.8,19.9,8299
2003-07-22 00:00:00+05:30,18.6,18.6,18.5,18.5,5899
2003-07-24 00:00:00+05:30,19.2,19.2,19.2,19.2,799
2003-07-25 00:00:00+05:30,19.5,19.55,19.4,19.4,7099
2003-07-28 00:00:00+05:30,19.95,20.05,19.8,19.8,13999
2003-07-30 00:00:00+05:30,20.4,20.5,20.4,20.5,5249
2003-08-01 00:00:00+05:30,20.3,20.3,20.3,20.3,49
2003-08-04 00:00:00+05:30,20.39,20.4,20.01,20.01,1999
2003-08-05 00:00:00+05:30,20.3,20.3,20.0,20.06,18249
2003-08-08 00:00:00+05:30,20.2,20.2,20.2,20.2,99
2003-08-11 00:00:00+05:30,20.6,20.6,20.6,20.6,3499
2003-08-12 00:00:00+05:30,20.6,20.6,20.6,20.6,699
2003-08-13 00:00:00+05:30,20.3,20.7,20.3,20.7,9199
2003-08-14 00:00:00+05:30,20.8,20.9,20.8,20.9,5649
2003-08-18 00:00:00+05:30,21.0,21.25,21.0,21.25,4999
2003-08-19 00:00:00+05:30,21.25,21.25,21.15,21.15,5999
2003-08-20 00:00:00+05:30,21.3,21.3,21.3,21.3,499
2003-08-21 00:00:00+05:30,21.3,21.9,21.3,21.9,909
2003-08-22 00:00:00+05:30,22.0,22.0,22.0,22.0,2249
2003-08-25 00:00:00+05:30,22.0,22.0,21.1,21.19,26749
2003-08-26 00:00:00+05:30,21.6,21.6,21.6,21.6,1869
2003-08-27 00:00:00+05:30,22.15,22.3,22.05,22.3,6899
2003-08-28 00:00:00+05:30,22.85,22.85,22.7,22.7,1799
2003-08-29 00:00:00+05:30,22.95,22.98,22.8,22.98,11899
2003-09-01 00:00:00+05:30,23.15,23.15,22.95,22.95,4549
2003-09-02 00:00:00+05:30,23.1,23.1,22.6,22.8,5769
2003-09-03 00:00:00+05:30,22.85,22.85,22.05,22.42,11499
2003-09-04 00:00:00+05:30,22.2,22.9,22.2,22.9,799
2003-09-05 00:00:00+05:30,22.55,22.55,22.55,22.55,4999
2003-09-08 00:00:00+05:30,23.05,23.35,23.05,23.31,5999
2003-09-09 00:00:00+05:30,23.05,23.4,23.05,23.4,3799
2003-09-10 00:00:00+05:30,22.85,23.1,22.85,23.1,11329
2003-09-11 00:00:00+05:30,23.3,23.3,23.3,23.3,699
2003-09-12 00:00:00+05:30,23.3,23.3,23.05,23.05,2499
2003-09-15 00:00:00+05:30,22.2,22.2,22.0,22.0,11499
2003-09-16 00:00:00+05:30,22.0,22.55,21.6,22.01,1649
2003-09-17 00:00:00+05:30,22.5,22.7,22.5,22.7,1349
2003-09-22 00:00:00+05:30,20.1,20.1,20.0,20.0,149
2003-09-23 00:00:00+05:30,19.8,22.6,19.8,22.6,1099
2003-09-24 00:00:00+05:30,22.7,23.3,22.6,23.3,1099
2003-09-25 00:00:00+05:30,23.35,23.35,23.35,23.35,149
2003-09-26 00:00:00+05:30,23.4,23.7,23.4,23.7,1449
2003-09-29 00:00:00+05:30,24.3,24.3,24.3,24.3,499
2003-09-30 00:00:00+05:30,24.65,24.85,24.3,24.85,13149
2003-10-01 00:00:00+05:30,25.0,25.0,24.5,24.56,549
2003-10-03 00:00:00+05:30,25.15,25.15,25.15,25.15,299
2003-10-06 00:00:00+05:30,25.2,25.2,24.9,24.9,1649
2003-10-07 00:00:00+05:30,25.5,25.5,25.2,25.2,599
2003-10-08 00:00:00+05:30,21.0,25.4,21.0,25.1,789
2003-10-09 00:00:00+05:30,25.4,25.7,25.4,25.7,419
2003-10-14 00:00:00+05:30,26.0,26.0,26.0,26.0,20399
