Datetime,open,high,low,close,Volume
2002-01-08 00:00:00+05:30,11.88,11.88,10.78,11.04,1190434
2002-01-09 00:00:00+05:30,11.24,11.24,10.7,10.81,6651706
2002-01-10 00:00:00+05:30,10.79,10.88,10.74,10.8,741767
2002-01-11 00:00:00+05:30,10.79,10.88,10.65,10.7,745898
2002-01-14 00:00:00+05:30,10.88,11.03,10.86,10.95,373868
2002-01-15 00:00:00+05:30,10.86,10.96,10.78,10.81,389808
2002-01-16 00:00:00+05:30,10.94,10.94,10.69,10.74,970535
2002-01-17 00:00:00+05:30,10.89,11.04,10.68,11.0,873454
2002-01-18 00:00:00+05:30,10.91,10.93,10.74,10.77,1031797
2002-01-21 00:00:00+05:30,10.82,10.84,10.72,10.74,197535
2002-01-22 00:00:00+05:30,10.82,10.83,10.72,10.76,299292
2002-01-23 00:00:00+05:30,10.81,10.81,10.68,10.69,359383
2002-01-24 00:00:00+05:30,10.82,10.87,10.67,10.7,251727
2002-01-25 00:00:00+05:30,10.69,10.74,10.61,10.69,271878
2002-01-28 00:00:00+05:30,10.75,10.77,10.59,10.6,221838
2002-01-29 00:00:00+05:30,10.56,10.66,10.56,10.64,182494
2002-01-30 00:00:00+05:30,10.57,10.57,10.49,10.53,109232
2002-01-31 00:00:00+05:30,10.59,10.7,10.59,10.69,282909
2002-02-01 00:00:00+05:30,10.77,10.77,10.55,10.67,111181
2002-02-04 00:00:00+05:30,10.64,10.71,10.61,10.61,120909
2002-02-05 00:00:00+05:30,10.62,10.67,10.6,10.6,93151
2002-02-06 00:00:00+05:30,10.74,11.09,10.74,11.0,891353
2002-02-07 00:00:00+05:30,11.04,11.14,10.7,10.85,623858
2002-02-08 00:00:00+05:30,10.96,11.14,10.9,11.08,115909
2002-02-11 00:00:00+05:30,11.19,11.29,11.14,11.2,396232
2002-02-12 00:00:00+05:30,11.27,11.27,11.11,11.16,172656
2002-02-13 00:00:00+05:30,11.18,11.26,11.17,11.18,256383
2002-02-14 00:00:00+05:30,11.29,11.33,11.26,11.32,251636
2002-02-15 00:00:00+05:30,11.36,11.46,11.36,11.44,102939
2002-02-18 00:00:00+05:30,11.48,11.66,11.16,11.51,168070
2002-02-19 00:00:00+05:30,11.53,11.53,11.4,11.45,238434
2002-02-20 00:00:00+05:30,11.34,11.39,11.28,11.3,171303
2002-02-21 00:00:00+05:30,11.36,11.41,11.32,11.36,214191
2002-02-22 00:00:00+05:30,11.41,11.43,11.29,11.42,176343
2002-02-25 00:00:00+05:30,11.39,11.48,11.39,11.45,191595
2002-02-26 00:00:00+05:30,11.54,11.79,11.51,11.71,318797
2002-02-27 00:00:00+05:30,11.78,11.83,11.58,11.65,360383
2002-02-28 00:00:00+05:30,11.7,11.75,11.19,11.28,301676
2002-03-01 00:00:00+05:30,11.43,11.6,11.22,11.51,127868
2002-03-04 00:00:00+05:30,11.65,11.73,11.53,11.54,138969
2002-03-05 00:00:00+05:30,11.62,11.73,11.54,11.56,133686
2002-03-06 00:00:00+05:30,11.61,11.65,11.46,11.48,244454
2002-03-07 00:00:00+05:30,11.63,11.71,11.57,11.7,157171
2002-03-08 00:00:00+05:30,11.73,11.77,11.63,11.73,116656
2002-03-11 00:00:00+05:30,11.73,11.73,11.48,11.52,112868
2002-03-12 00:00:00+05:30,11.51,11.51,11.3,11.32,260949
2002-03-13 00:00:00+05:30,11.4,11.5,11.39,11.42,207545
2002-03-14 00:00:00+05:30,11.46,11.51,11.4,11.41,122424
2002-03-15 00:00:00+05:30,11.46,11.6,11.46,11.58,301959
2002-03-18 00:00:00+05:30,11.65,11.67,11.54,11.59,111626
2002-03-19 00:00:00+05:30,11.61,11.61,11.41,11.43,188040
2002-03-20 00:00:00+05:30,11.53,11.53,11.39,11.47,107292
2002-03-21 00:00:00+05:30,11.45,11.45,11.37,11.4,184434
2002-03-22 00:00:00+05:30,11.36,11.39,11.29,11.33,149939
2002-03-26 00:00:00+05:30,11.33,11.33,11.17,11.17,149494
2002-03-27 00:00:00+05:30,11.04,11.24,11.04,11.17,264343
2002-03-28 00:00:00+05:30,11.21,11.29,11.19,11.24,481757
2002-04-01 00:00:00+05:30,11.3,11.3,11.24,11.28,129777
2002-04-02 00:00:00+05:30,11.25,11.33,11.21,11.22,124202
2002-04-03 00:00:00+05:30,11.17,11.2,11.09,11.11,137909
2002-04-04 00:00:00+05:30,11.19,11.32,11.19,11.3,308292
2002-04-05 00:00:00+05:30,11.38,11.39,11.28,11.29,173414
2002-04-08 00:00:00+05:30,11.29,11.33,11.19,11.23,101626
2002-04-09 00:00:00+05:30,11.22,11.23,11.16,11.18,102020
2002-04-10 00:00:00+05:30,11.29,11.3,11.19,11.29,105999
2002-04-11 00:00:00+05:30,11.34,11.37,11.29,11.33,126383
2002-04-12 00:00:00+05:30,11.33,11.39,11.29,11.33,113747
2002-04-15 00:00:00+05:30,11.39,11.39,11.2,11.21,160272
2002-04-16 00:00:00+05:30,11.2,11.24,11.14,11.15,104747
2002-04-17 00:00:00+05:30,11.19,11.22,11.14,11.21,108383
2002-04-18 00:00:00+05:30,11.2,11.24,11.15,11.19,102787
2002-04-19 00:00:00+05:30,11.2,11.21,10.79,10.93,716272
2002-04-22 00:00:00+05:30,10.87,10.97,10.83,10.96,135949
2002-04-23 00:00:00+05:30,10.97,10.98,10.74,10.94,208757
2002-04-24 00:00:00+05:30,11.37,11.37,10.72,10.96,102737
2002-04-25 00:00:00+05:30,11.04,11.04,10.89,10.93,114040
2002-04-26 00:00:00+05:30,10.96,10.96,10.82,10.84,103636
2002-04-29 00:00:00+05:30,10.89,10.94,10.69,10.7,211404
2002-04-30 00:00:00+05:30,10.72,10.81,10.72,10.78,506282
2002-05-02 00:00:00+05:30,10.89,10.92,10.82,10.85,111040
2002-05-03 00:00:00+05:30,10.85,10.88,10.64,10.73,132626
2002-05-06 00:00:00+05:30,10.89,10.94,10.87,10.91,109898
2002-05-07 00:00:00+05:30,10.89,11.0,10.87,10.97,103838
2002-05-08 00:00:00+05:30,11.04,11.08,10.98,11.03,148232
2002-05-09 00:00:00+05:30,11.17,11.18,11.07,11.12,140191
2002-05-10 00:00:00+05:30,11.13,11.13,11.0,11.06,143434
2002-05-13 00:00:00+05:30,11.06,11.08,11.01,11.06,118191
2002-05-14 00:00:00+05:30,11.09,11.1,10.99,11.06,102777
2002-05-15 00:00:00+05:30,11.04,11.09,10.94,10.97,123626
2002-05-16 00:00:00+05:30,10.94,10.96,10.87,10.89,98757
2002-05-17 00:00:00+05:30,10.79,10.85,10.76,10.82,149191
2002-05-20 00:00:00+05:30,10.78,10.78,10.67,10.68,111111
2002-05-21 00:00:00+05:30,10.57,10.57,10.3,10.37,166484
2002-05-22 00:00:00+05:30,10.4,10.42,10.27,10.33,114919
2002-05-23 00:00:00+05:30,10.3,10.34,10.21,10.24,134373
2002-05-24 00:00:00+05:30,11.09,11.09,10.33,10.56,107323
2002-05-27 00:00:00+05:30,10.48,10.56,10.4,10.44,204373
2002-05-28 00:00:00+05:30,10.4,10.4,10.29,10.29,108050
2002-05-29 00:00:00+05:30,10.25,10.37,10.21,10.37,156262
2002-05-30 00:00:00+05:30,10.37,10.4,10.21,10.22,127636
2002-05-31 00:00:00+05:30,10.25,10.25,10.1,10.2,198585
2002-06-03 00:00:00+05:30,10.29,10.35,10.27,10.31,103989
2002-06-04 00:00:00+05:30,10.39,10.39,10.31,10.37,102696
2002-06-05 00:00:00+05:30,10.36,10.55,10.36,10.52,175303
2002-06-06 00:00:00+05:30,10.64,10.64,10.44,10.54,133969
2002-06-07 00:00:00+05:30,10.4,10.44,10.35,10.35,117656
2002-06-10 00:00:00+05:30,10.49,10.62,10.4,10.5,102010
2002-06-11 00:00:00+05:30,10.69,10.84,10.69,10.82,463484
2002-06-12 00:00:00+05:30,10.89,10.89,10.72,10.74,173696
2002-06-13 00:00:00+05:30,10.88,10.88,10.69,10.74,104696
2002-06-14 00:00:00+05:30,10.77,10.77,10.67,10.69,103080
2002-06-17 00:00:00+05:30,10.76,10.84,10.75,10.8,97222
2002-06-18 00:00:00+05:30,10.79,10.88,10.65,10.67,106060
2002-06-19 00:00:00+05:30,10.67,10.67,10.49,10.53,126424
2002-06-20 00:00:00+05:30,10.48,10.59,10.48,10.57,103636
2002-06-21 00:00:00+05:30,10.55,10.57,10.49,10.5,103737
2002-06-24 00:00:00+05:30,10.49,10.52,10.42,10.49,93414
2002-06-25 00:00:00+05:30,10.48,10.48,10.4,10.41,113313
2002-06-26 00:00:00+05:30,10.4,10.46,10.37,10.37,95151
2002-06-27 00:00:00+05:30,10.37,10.44,10.36,10.37,98989
2002-06-28 00:00:00+05:30,10.49,10.49,10.41,10.48,116818
2002-07-01 00:00:00+05:30,10.51,10.61,10.49,10.56,102676
2002-07-02 00:00:00+05:30,10.84,10.84,10.5,10.61,90070
2002-07-03 00:00:00+05:30,10.52,10.72,10.52,10.64,100101
2002-07-04 00:00:00+05:30,10.62,10.69,10.61,10.61,115616
2002-07-05 00:00:00+05:30,10.61,10.66,10.51,10.64,100080
2002-07-08 00:00:00+05:30,10.66,10.82,10.66,10.77,92454
