Datetime,open,high,low,close,Volume
2021-07-07 00:00:00+05:30,17.45,17.45,13.35,14.5,335878
2021-07-08 00:00:00+05:30,14.6,15.0,14.3,14.3,308598
2021-07-09 00:00:00+05:30,17.35,17.35,14.3,14.4,160432
2021-07-12 00:00:00+05:30,16.7,16.7,14.3,14.4,229165
2021-07-13 00:00:00+05:30,14.3,14.6,14.2,14.5,202588
2021-07-14 00:00:00+05:30,14.8,14.8,14.25,14.55,189244
2021-07-15 00:00:00+05:30,14.8,14.8,14.35,14.55,195911
2021-07-16 00:00:00+05:30,15.0,15.0,14.55,14.7,247664
2021-07-19 00:00:00+05:30,14.95,15.0,14.65,14.7,645547
2021-07-20 00:00:00+05:30,14.9,14.9,14.5,14.55,244764
2021-07-22 00:00:00+05:30,14.9,15.5,14.5,14.65,227584
2021-07-23 00:00:00+05:30,15.2,15.2,14.55,14.65,168161
2021-07-26 00:00:00+05:30,14.65,14.85,14.6,14.65,121368
2021-07-27 00:00:00+05:30,14.8,14.8,13.95,14.1,1333964
2021-07-28 00:00:00+05:30,14.9,14.9,13.85,14.05,912092
2021-07-29 00:00:00+05:30,14.3,14.3,13.9,14.0,267559
2021-07-30 00:00:00+05:30,14.25,14.49,14.01,14.43,307092
2021-08-02 00:00:00+05:30,14.7,14.8,14.32,14.44,240456
2021-08-03 00:00:00+05:30,14.44,14.75,14.33,14.59,202730
2021-08-04 00:00:00+05:30,14.59,14.73,14.55,14.61,326932
2021-08-05 00:00:00+05:30,14.75,14.75,14.5,14.66,238148
2021-08-06 00:00:00+05:30,15.1,16.0,14.43,14.59,134346
2021-08-09 00:00:00+05:30,14.75,14.75,14.33,14.57,102055
2021-08-10 00:00:00+05:30,14.75,14.78,14.44,14.51,286418
2021-08-11 00:00:00+05:30,14.78,14.78,14.22,14.36,157900
2021-08-12 00:00:00+05:30,14.6,14.6,14.19,14.2,414815
2021-08-13 00:00:00+05:30,14.66,14.66,14.05,14.14,373120
2021-08-16 00:00:00+05:30,14.28,14.28,13.98,14.05,355049
2021-08-17 00:00:00+05:30,14.12,14.21,14.01,14.1,168495
2021-08-18 00:00:00+05:30,14.27,14.27,13.95,14.16,189781
2021-08-20 00:00:00+05:30,14.24,14.24,13.72,13.8,585977
2021-08-23 00:00:00+05:30,14.04,14.06,13.6,13.8,344703
2021-08-24 00:00:00+05:30,14.21,14.21,13.68,13.97,366561
2021-08-25 00:00:00+05:30,14.66,14.66,13.81,13.91,126308
2021-08-26 00:00:00+05:30,13.91,14.2,13.8,13.82,140880
