Datetime,open,high,low,close,Volume
2000-05-08 00:00:00+05:30,81.7,83.18,79.55,79.97,23882249
2000-05-09 00:00:00+05:30,79.35,81.91,78.59,81.04,25054622
2000-05-10 00:00:00+05:30,81.45,82.66,79.8,80.28,27128905
2000-05-11 00:00:00+05:30,79.98,79.98,77.5,78.18,26046653
2000-05-12 00:00:00+05:30,78.89,79.6,77.33,77.97,16754162
2000-05-15 00:00:00+05:30,77.02,80.14,75.65,78.86,23487908
2000-05-16 00:00:00+05:30,78.98,79.45,77.75,78.34,12761256
2000-05-17 00:00:00+05:30,79.21,81.06,78.06,78.7,31696680
2000-05-18 00:00:00+05:30,78.49,78.92,75.8,76.54,21807981
2000-05-19 00:00:00+05:30,76.02,78.75,75.84,77.9,32278465
2000-05-22 00:00:00+05:30,77.26,78.22,76.27,77.12,12642050
2000-05-23 00:00:00+05:30,77.08,78.0,76.15,77.69,16965619
2000-05-24 00:00:00+05:30,77.42,78.47,76.52,77.19,16450979
2000-05-25 00:00:00+05:30,77.08,78.44,76.79,77.21,10603739
2000-05-26 00:00:00+05:30,77.7,78.49,76.76,78.11,14199546
2000-05-29 00:00:00+05:30,78.61,85.76,78.49,83.78,47847484
2000-05-30 00:00:00+05:30,84.11,85.36,83.2,84.86,23280434
2000-05-31 00:00:00+05:30,86.64,88.07,84.44,84.88,34321021
2000-06-01 00:00:00+05:30,84.44,85.38,82.97,83.72,21802431
2000-06-02 00:00:00+05:30,84.66,85.4,82.46,83.29,23686438
2000-06-05 00:00:00+05:30,83.35,86.85,83.03,83.72,43950115
2000-06-06 00:00:00+05:30,83.43,84.62,82.96,83.62,15931113
2000-06-07 00:00:00+05:30,83.9,85.01,82.99,83.41,15259244
2000-06-08 00:00:00+05:30,83.9,85.15,83.49,84.13,18638541
2000-06-09 00:00:00+05:30,84.39,87.06,83.69,84.22,50320969
2000-06-12 00:00:00+05:30,84.51,85.33,83.56,83.77,16713424
2000-06-13 00:00:00+05:30,83.67,85.51,83.19,83.55,27773532
2000-06-14 00:00:00+05:30,85.52,85.52,82.96,83.27,18242013
2000-06-15 00:00:00+05:30,84.17,84.17,80.84,81.81,24620857
2000-06-16 00:00:00+05:30,81.34,82.9,81.21,82.01,18469725
2000-06-19 00:00:00+05:30,82.38,82.93,81.5,81.79,12572900
2000-06-20 00:00:00+05:30,82.32,82.44,81.09,81.53,16847398
2000-06-21 00:00:00+05:30,82.44,82.44,81.02,81.24,8450841
2000-06-22 00:00:00+05:30,81.54,86.34,79.79,85.15,77555929
2000-06-23 00:00:00+05:30,85.43,87.54,82.69,83.37,64813464
2000-06-26 00:00:00+05:30,82.69,82.83,81.02,81.74,14041924
2000-06-27 00:00:00+05:30,81.79,83.9,81.48,82.56,30986553
2000-06-28 00:00:00+05:30,82.69,83.17,82.07,82.38,7102206
2000-06-29 00:00:00+05:30,82.77,85.33,82.66,84.48,30864046
2000-06-30 00:00:00+05:30,84.91,85.08,82.93,84.12,25708794
2000-07-03 00:00:00+05:30,83.43,86.87,83.43,85.93,40439543
2000-07-04 00:00:00+05:30,86.04,86.29,84.92,85.25,21814318
2000-07-05 00:00:00+05:30,86.14,88.94,85.55,87.41,55167532
2000-07-06 00:00:00+05:30,86.64,90.07,86.39,89.44,58073778
2000-07-07 00:00:00+05:30,89.94,90.31,88.86,89.15,32286892
2000-07-10 00:00:00+05:30,89.6,91.57,88.52,90.96,38205745
2000-07-11 00:00:00+05:30,91.3,93.23,90.47,92.79,49376251
2000-07-12 00:00:00+05:30,92.34,92.74,90.83,91.34,20606503
2000-07-13 00:00:00+05:30,91.52,92.26,89.6,90.28,24088160
2000-07-14 00:00:00+05:30,90.4,91.44,88.76,89.15,25943786
2000-07-17 00:00:00+05:30,89.57,90.07,88.24,89.67,24934075
2000-07-18 00:00:00+05:30,89.23,89.6,87.94,88.4,15131182
2000-07-19 00:00:00+05:30,88.49,89.47,87.01,87.4,16988883
2000-07-20 00:00:00+05:30,87.1,89.05,85.65,88.26,36063410
2000-07-21 00:00:00+05:30,88.12,88.12,84.48,84.88,41587927
2000-07-24 00:00:00+05:30,84.18,84.18,80.01,80.59,24376570
2000-07-25 00:00:00+05:30,79.61,83.04,79.03,82.41,26764355
2000-07-26 00:00:00+05:30,83.67,83.67,79.97,80.37,15727985
2000-07-27 00:00:00+05:30,80.46,86.59,79.5,84.92,34901250
2000-07-28 00:00:00+05:30,85.9,86.39,83.72,84.03,24248759
2000-07-31 00:00:00+05:30,83.43,84.14,82.81,83.13,8149632
2000-08-01 00:00:00+05:30,82.93,84.39,82.83,83.55,15129043
2000-08-02 00:00:00+05:30,83.28,83.85,82.93,83.67,5909008
2000-08-03 00:00:00+05:30,83.87,84.85,83.01,83.34,13506229
2000-08-04 00:00:00+05:30,83.55,83.61,81.24,81.48,14268178
2000-08-07 00:00:00+05:30,81.21,81.95,80.01,81.51,10012324
2000-08-08 00:00:00+05:30,81.86,82.28,81.33,81.66,9127912
2000-08-09 00:00:00+05:30,82.19,83.43,81.74,82.37,10559570
2000-08-10 00:00:00+05:30,81.95,82.87,81.0,81.34,6887616
2000-08-11 00:00:00+05:30,81.33,81.95,80.88,81.27,7905224
2000-08-14 00:00:00+05:30,81.21,81.91,79.55,81.29,11456627
2000-08-16 00:00:00+05:30,81.92,84.12,81.51,83.28,19529987
2000-08-17 00:00:00+05:30,83.67,85.25,82.81,83.37,24922925
2000-08-18 00:00:00+05:30,83.19,83.88,82.85,83.17,7430398
2000-08-21 00:00:00+05:30,82.98,83.65,82.71,83.06,5871974
2000-08-22 00:00:00+05:30,83.55,84.48,83.11,83.5,11541501
2000-08-23 00:00:00+05:30,84.34,85.4,83.56,83.81,21975558
2000-08-24 00:00:00+05:30,83.67,84.11,82.44,82.83,13370440
2000-08-25 00:00:00+05:30,83.06,83.53,81.76,82.34,6706184
2000-08-28 00:00:00+05:30,82.32,82.69,81.85,82.0,4824539
2000-08-29 00:00:00+05:30,81.77,82.56,81.28,81.55,8771583
2000-08-30 00:00:00+05:30,82.62,83.62,81.85,83.16,12726891
2000-08-31 00:00:00+05:30,83.55,84.12,82.7,83.07,11104620
2000-09-04 00:00:00+05:30,83.65,88.05,83.49,87.35,32313182
2000-09-05 00:00:00+05:30,88.12,88.76,86.94,87.81,14724076
2000-09-06 00:00:00+05:30,87.87,90.31,86.88,89.75,39626177
2000-09-07 00:00:00+05:30,89.14,91.55,88.88,89.31,30584933
2000-09-08 00:00:00+05:30,89.35,92.56,89.12,91.55,24132373
2000-09-11 00:00:00+05:30,92.51,95.52,92.34,94.57,28584280
2000-09-12 00:00:00+05:30,95.03,96.21,94.09,94.65,17548368
2000-09-13 00:00:00+05:30,95.26,95.26,91.82,92.68,23978726
2000-09-14 00:00:00+05:30,92.82,93.95,91.99,92.73,17014929
2000-09-15 00:00:00+05:30,92.81,93.09,89.63,90.33,15390775
2000-09-18 00:00:00+05:30,89.6,89.6,84.7,85.45,21235045
2000-09-19 00:00:00+05:30,84.96,86.87,82.44,83.33,19716196
2000-09-20 00:00:00+05:30,84.23,86.57,83.33,85.77,15512278
2000-09-21 00:00:00+05:30,85.87,86.39,84.5,85.87,14224924
2000-09-22 00:00:00+05:30,85.65,85.65,82.92,83.51,17227854
2000-09-25 00:00:00+05:30,84.43,85.4,83.43,84.4,14044853
2000-09-26 00:00:00+05:30,84.91,84.91,83.44,84.24,11575274
2000-09-27 00:00:00+05:30,84.18,87.55,82.54,86.86,27101088
2000-09-28 00:00:00+05:30,87.62,87.62,84.78,85.3,19950973
2000-09-29 00:00:00+05:30,85.85,86.36,84.18,84.54,10992942
2000-10-03 00:00:00+05:30,83.93,85.28,83.49,84.7,12139333
2000-10-04 00:00:00+05:30,85.4,86.02,84.88,85.56,7596386
2000-10-05 00:00:00+05:30,85.19,85.72,83.6,83.96,6956872
2000-10-06 00:00:00+05:30,83.44,84.36,83.07,84.02,8446782
2000-10-09 00:00:00+05:30,84.17,85.52,83.69,84.03,9990823
2000-10-10 00:00:00+05:30,84.18,84.29,82.29,82.74,8681061
2000-10-11 00:00:00+05:30,82.19,82.54,80.86,81.53,7865090
2000-10-12 00:00:00+05:30,80.84,82.56,79.61,80.8,19985362
2000-10-13 00:00:00+05:30,80.28,80.28,75.31,78.56,15477233
2000-10-16 00:00:00+05:30,79.23,82.54,75.34,76.59,19687451
2000-10-17 00:00:00+05:30,75.32,76.94,73.37,74.53,23798136
2000-10-18 00:00:00+05:30,73.92,74.66,72.63,73.64,10984491
2000-10-19 00:00:00+05:30,73.26,76.12,70.84,74.82,20461918
2000-10-20 00:00:00+05:30,76.33,77.38,73.1,73.58,25604756
2000-10-23 00:00:00+05:30,73.55,73.55,69.94,70.55,14332223
2000-10-24 00:00:00+05:30,70.59,72.74,70.22,72.25,20224507
2000-10-25 00:00:00+05:30,72.57,76.29,72.39,75.29,22219500
2000-10-26 00:00:00+05:30,76.01,76.52,75.05,75.42,5476102
